Time,compartment,GSH,HTA,SLG,Lac,MG,ZAZ,reversMA,reversMM,irreversMM,irreversMA
1528.0,1.0,0.14008307725614313,4.63388200471498E-5,0.13150158083035277,0.004235907714868825,8.30772561430935E-5,100.0741330953784,4.2410142987126475E-7,6.628421073125767E-7,6.566444063769442E-4,6.777452343790121E-4
1529.0,1.0,0.14008265456844232,4.6102938583012004E-5,0.13084722794348735,0.004214859210995328,8.26545684422762E-5,100.07480915533829,4.2189371080039403E-7,6.594120228744816E-7,6.53381208518187E-4,6.743774737592524E-4
1530.0,1.0,0.14008223407866166,4.5868284983749403E-5,0.1301961267352873,0.004193915012028249,8.223407866169054E-5,100.07548185588885,4.196976831412645E-7,6.560009946084809E-7,6.50134184150091E-4,6.7102640192452E-4
1531.0,1.0,0.14008181577488124,4.563485257697484E-5,0.12954826109075365,0.0041730746039305745,8.181577488121276E-5,100.07615121367772,4.175132811639297E-7,6.526089157250231E-7,6.469032535378705E-4,6.67691936628892E-4
1532.0,1.0,0.1400813996452501,4.540263472913185E-5,0.12890361497431974,0.004152337475170457,8.139964524999578E-5,100.07681724527036,4.1534043970625344E-7,6.492356798584264E-7,6.43688337335605E-4,6.64373996027273E-4
1533.0,1.0,0.14008098567798621,4.5171624845258744E-5,0.12826217242946267,0.004131703116709212,8.098567798604294E-5,100.07747996715081,4.131790941615905E-7,6.458811810730616E-7,6.404893565843787E-4,6.61072498673474E-4
1534.0,1.0,0.14008057386137598,4.494181636875515E-5,0.12762391757832028,0.004111171021989552,8.057386137578606E-5,100.07813939572178,4.110291804662505E-7,6.425453138693868E-7,6.373062327104455E-4,6.577873635183283E-4
1535.0,1.0,0.14008016418377378,4.471320278114739E-5,0.1269888346213055,0.004090740686923673,8.016418377366131E-5,100.07879554730506,4.0889063508675865E-7,6.39227973189315E-7,6.341388875233811E-4,6.545185099077877E-4
1536.0,1.0,0.14007975663360173,4.448577760185578E-5,0.12635690783672562,0.004070411609881521,7.975663360168941E-5,100.07944843814204,4.0676339500839024E-7,6.359290544212868E-7,6.309872432142584E-4,6.512658575810433E-4
1537.0,1.0,0.1400793511993491,4.425953438796232E-5,0.12572812158040161,0.004050183291679056,7.935119934905615E-5,100.08009808439401,4.046473977233528E-7,6.326484534049626E-7,6.27851222353823E-4,6.480293266686489E-4
1538.0,1.0,0.14007894786957184,4.40344667339796E-5,0.1251024602852909,0.004030055235566613,7.894786957169589E-5,100.08074450214266,4.025425812195511E-7,6.293860664355128E-7,6.247307478906846E-4,6.448088376906581E-4
1539.0,1.0,0.14007854663289196,4.381056827162049E-5,0.12447990846111034,0.0040100269472172784,7.85466328918764E-5,100.08138770739032,4.0044888396985356E-7,6.26141790267774E-7,6.216257431495085E-4,6.416043115547646E-4
1540.0,1.0,0.14007814747799785,4.358783266956887E-5,0.12386045069396208,0.003990097934715332,7.814747799778551E-5,100.08202771606047,3.9836624492138573E-7,6.229155221199566E-7,6.185361318292216E-4,6.384156695544531E-4
1541.0,1.0,0.14007775039364317,4.336625363325123E-5,0.12324407164596014,0.003970267708544732,7.775039364312026E-5,100.08266454399802,3.962946034855421E-7,6.197071596771507E-7,6.154618380012209E-4,6.352428333671571E-4
1542.0,1.0,0.14007735536864688,4.314582490461022E-5,0.1226307560548612,0.003950535781577715,7.735536864667915E-5,100.08329820696986,3.9423389952803845E-7,6.165166010946614E-7,6.124027861076013E-4,6.320857250524343E-4
1543.0,1.0,0.14007696239189216,4.2926540261877535E-5,0.12202048873369328,0.00393090166906331,7.696239189195419E-5,100.08392872066496,3.921840733595879E-7,6.133437450008357E-7,6.093589009593735E-4,6.289442670501295E-4
1544.0,1.0,0.14007657145232696,4.2708393519350005E-5,0.12141325457038991,0.003911364888616069,7.657145232672787E-5,100.08455610069498,3.901450657267392E-7,6.101884905001767E-7,6.063301077347087E-4,6.258183821785711E-4
1545.0,1.0,0.14007618253896292,4.249137852716506E-5,0.12080903852742361,0.0038919249602047293,7.618253896267033E-5,100.0851803625947,3.881168178032033E-7,6.070507371756338E-7,6.033163319771775E-4,6.227079936327567E-4
1546.0,1.0,0.14007579564087522,4.227548917107845E-5,0.12020782564144206,0.003872581406140973,7.579564087493998E-5,100.0858015218222,3.860992711811795E-7,6.039303850912637E-7,6.003174995940032E-4,6.196130249825556E-4
1547.0,1.0,0.14007541074720212,4.2060719372242534E-5,0.11960960102290624,0.0038533337510682406,7.541074720178594E-5,100.08641959375929,3.840923678636443E-7,6.008273347941842E-7,5.973335368543238E-4,6.165334001709185E-4
1548.0,1.0,0.14007502784669873,4.1847060008126514E-5,0.11901434985925477,0.003834181521951057,7.502784669832953E-5,100.08703459371196,3.82101708117796E-7,5.977392960416266E-7,5.943643704050413E-4,6.134690435121691E-4
1549.0,1.0,0.14007464692611482,4.1634498711180156E-5,0.11842205741635138,0.003815124248077558,7.464692611436421E-5,100.08764653691067,3.801371343544564E-7,5.946615887716953E-7,5.914099272781096E-4,6.104198796924093E-4
1550.0,1.0,0.14007426797158268,4.142303584640625E-5,0.11783270902074403,0.003796161461065243,7.426797158220542E-5,100.08825543851069,3.781823320813337E-7,5.915985693220114E-7,5.884701348021047E-4,6.073858337704389E-4
1551.0,1.0,0.14007389097349685,4.1212666152860024E-5,0.11724629007283158,0.0037772926948023847,7.38909734963821E-5,100.08886131359266,3.7623701794212237E-7,5.885505965111156E-7,5.855449206679648E-4,6.043668311683816E-4
1552.0,1.0,0.14007351592222403,4.1003384158115814E-5,0.11666278604538373,0.0037585174854424933,7.351592222372607E-5,100.08946417716272,3.743013009049954E-7,5.855178606465335E-7,5.826342129216706E-4,6.013627976707989E-4
1553.0,1.0,0.140073142808025,4.079518434282193E-5,0.11608218248310179,0.0037398353713964673,7.314280802470217E-5,100.0900640441531,3.723752649486482E-7,5.82500499388214E-7,5.797379399621183E-4,5.983736594234348E-4
1554.0,1.0,0.14007277162108242,4.058806115901642E-5,0.11550446500221812,0.0037212458933239814,7.27716210821381E-5,100.09066092942219,3.70458964641369E-7,5.79498609942448E-7,5.768560305391832E-4,5.95399342931837E-4
1555.0,1.0,0.14007240235152724,4.0382009041821254E-5,0.11492961929010917,0.003702748594124462,7.240235152700706E-5,100.09125484775518,3.685524306586526E-7,5.76512256759932E-7,5.739884137518515E-4,5.924397750599139E-4
1556.0,1.0,0.14007203498945967,4.01770224187977E-5,0.1143576311049172,0.0036843430189276763,7.203498945934774E-5,100.09184581386427,3.6665567452552736E-7,5.735414777462068E-7,5.711350190463939E-4,5.894948830284282E-4
1557.0,1.0,0.14007166952496541,3.997309571748052E-5,0.11378848627517944,0.0036660287150840306,7.166952496515423E-5,100.09243384238903,3.6476869248168204E-7,5.705862893135761E-7,5.682957762145768E-4,5.865645944134449E-4
1558.0,1.0,0.14007130594813022,3.977022337143485E-5,0.11322217069946355,0.003647805232154678,7.130594812998455E-5,100.09301894789685,3.6289146862287364E-7,5.676466904881606E-7,5.654706153919034E-4,5.836488371447485E-4
1559.0,1.0,0.14007094424905014,3.9568399825112686E-5,0.11265867034600925,0.0036296721219014685,7.094424904990031E-5,100.09360114488317,3.610239774491414E-7,5.6472266624432E-7,5.626594670558851E-4,5.80747539504235E-4
1560.0,1.0,0.14007058441784045,3.9367619537736486E-5,0.11209797125237425,0.003611628938276793,7.058441784023897E-5,100.09418044777192,3.591661859295614E-7,5.61814190209413E-7,5.598622620243344E-4,5.778606301242869E-4
