Time,compartment,A,B,C,reversMA,irreversMA
1.96,1.0,0.06475706304100826,0.04740543989894083,14.887837497060056,0.16421737236615136,0.284432639393645
1.97,1.0,0.0631355362419296,0.0462184017379594,14.890646062020116,0.16010534149179956,0.2773104104277564
1.98,1.0,0.06155461274788833,0.0450610870929063,14.893384300159209,0.15609627680574073,0.2703665225574378
1.99,1.0,0.06001327584300121,0.043932751691116476,14.896053972465888,0.15218759998977188,0.2635965101466988
2.0,1.0,0.05851053427038371,0.042832669895849225,14.898656795833773,0.14837679728983638,0.25699601937509536
2.01,1.0,0.05704542159462732,0.04176013423971175,14.901194444165666,0.14466141789908576,0.2505608054382705
2.02,1.0,0.05561699558024291,0.040714454969759464,14.903668549450003,0.14103907238145272,0.24428672981855679
2.03,1.0,0.054224337585670086,0.039694959603981415,14.906080702810357,0.13750743113471753,0.23816975762388848
2.04,1.0,0.052866551972462414,0.03870099249888603,14.90843245552866,0.1340642228920776,0.2322059549933162
2.05,1.0,0.05154276552926862,0.037731914427909984,14.91072532004283,0.1307072332612545,0.2263914865674599
2.06,1.0,0.05025212691023888,0.03678710217037931,14.912960770919392,0.1274343033001969,0.22072261302227586
2.07,1.0,0.04899380608749493,0.03586594811075919,14.915140245801759,0.12424332812846134,0.21519568866455513
2.08,1.0,0.04776699381731179,0.0349678598479349,14.917265146334765,0.12113225557337735,0.20980715908760939
2.09,1.0,0.04657090111966746,0.03409225981427329,14.919336839066073,0.11809908485012327,0.20455355888563972
2.1,1.0,0.04540475877082599,0.033238584904219895,14.921356656324969,0.11514186527486417,0.19943150942531937
2.11,1.0,0.044267816808627125,0.03240628611219355,14.923325897079193,0.1122586950101214,0.19443771667316131
2.12,1.0,0.043159344050164694,0.03159482817954559,14.925245827770302,0.10944771984156759,0.18956896907727355
2.13,1.0,0.04207862762154306,0.030803689250356998,14.927117683128111,0.10670713198545825,0.184822135502142
2.14,1.0,0.041024972499409354,0.03003236053585253,14.92894266696475,0.10403516892593236,0.18019416321511517
2.15,1.0,0.03999770106396642,0.02928034598721606,14.93072195294883,0.10143011228143356,0.17568207592329638
2.16,1.0,0.03899615266317906,0.02854716197659697,14.932456685360236,0.0988902866995223,0.17128297185958183
2.17,1.0,0.038019683187893165,0.027832336986102716,14.934147979826017,0.09641405877936723,0.1669940219166163
2.18,1.0,0.03706766465759438,0.02713541130457765,14.93579692403784,0.09399983602122222,0.1628124678274659
2.19,1.0,0.03613948481653996,0.0264559367319733,14.937404578451499,0.09164606580221324,0.1587356203918398
2.2,1.0,0.03523454674000394,0.025793476291120096,14.938971976968887,0.08935123437777556,0.15476085774672058
2.21,1.0,0.034352268450382355,0.02514760394671536,14.940500127602913,0.08711386590809869,0.15088562368029215
2.22,1.0,0.0334920825429116,0.024517904331346888,14.941990013125752,0.08493252150895261,0.14710742598808133
2.23,1.0,0.03265343582075916,0.02390397247837612,14.943442591700874,0.08280579832628439,0.14342383487025673
2.24,1.0,0.03183578893925201,0.02330541356150912,14.944858797499247,0.08073232863398981,0.13983248136905474
2.25,1.0,0.031038616059013962,0.022721842640888095,14.946239541300107,0.07871077895427966,0.13633105584532856
2.26,1.0,0.03026140450778848,0.02215288441554009,14.94758571107668,0.07673984920007373,0.13291730649324054
2.27,1.0,0.029503654450730003,0.02159817298202385,14.948898172567256,0.07481827183887231,0.1295890378921431
2.28,1.0,0.02876487856895125,0.021057351599119686,14.950177769831939,0.07294481107756563,0.12634410959471812
2.29,1.0,0.028044601746119967,0.020530072458411014,14.95142532579548,0.07111826206765784,0.12318043475046608
2.3,1.0,0.02734236076290352,0.020015996460610124,14.952641642776497,0.06933745013039383,0.12009597876366074
2.31,1.0,0.026657703999064773,0.019514792997484393,14.95382750300346,0.06760123000129031,0.11708875798490637
2.32,1.0,0.02599019114301767,0.01902613973924273,14.954983669117748,0.06590848509358521,0.11415683843545638
2.33,1.0,0.025339392908655695,0.01854972242724557,14.956110884664108,0.06425812678013164,0.11129833456347342
2.34,1.0,0.02470489075927112,0.01808523467190508,14.957209874568832,0.06264909369327432,0.10851140803143047
2.35,1.0,0.024086276638387437,0.017632377755645787,14.958281345605975,0.061080351042258174,0.10579426653387472
2.36,1.0,0.023483152707331922,0.01719086044079876,14.95932598685188,0.05955088994773017,0.10314516264479257
2.37,1.0,0.022895131089379444,0.016760398782305983,14.960344470128325,0.05805972679290581,0.1005623926938359
2.38,1.0,0.02232183362030308,0.016340715945114395,14.961337450434591,0.056605902590983526,0.09804429567068637
2.39,1.0,0.021762891605170996,0.01593154202614223,14.962305566368697,0.05518848236839952,0.09558925215685338
2.4,1.0,0.02121794558123329,0.015532613880703174,14.963249440538073,0.05380655456352681,0.09319568328421904
2.41,1.0,0.020686645086746204,0.015143674953276743,14.964169679959987,0.052459230440431326,0.09086204971966046
2.42,1.0,0.02016864843558508,0.014764475112516023,14.965066876451909,0.05114564351730827,0.08858685067509614
2.43,1.0,0.019663622497501063,0.014394770490386738,14.965941607012123,0.049864949009230775,0.08636862294232042
2.44,1.0,0.01917124248388031,0.014034323325334155,14.966794434190795,0.04861632328485292,0.08420593995200493
2.45,1.0,0.01869119173886778,0.013682901809377038,14.967625906451767,0.04739896333671704,0.08209741085626224
2.46,1.0,0.018223161535721417,0.013340279939030265,14.968436558525262,0.046212086264825133,0.08004167963418159
2.47,1.0,0.017766850878265652,0.013006237369960288,14.969226911751788,0.04505492877314203,0.07803742421976173
2.48,1.0,0.017321966307316587,0.012680559275279961,14.969997474417417,0.04392674667870643,0.07608335565167977
2.49,1.0,0.01688822171195434,0.012363036207391608,14.970748742080668,0.04282681443303415,0.07417821724434964
2.5,1.0,0.016465338145521164,0.012053463963289504,14.971481197891203,0.04175442465550565,0.07232078377973702
2.51,1.0,0.01605304364622706,0.01175164345323512,14.972195312900553,0.040708887678438,0.07050986071941072
2.52,1.0,0.015651073062247445,0.011457380572720733,14.972891546365046,0.03968953110354831,0.0687442834363244
2.53,1.0,0.015259167881200431,0.011170486077639007,14.973570346041177,0.03869569936952371,0.06702291646583404
2.54,1.0,0.014877076063894025,0.01089077546257832,14.974232148473545,0.03772675333041946,0.06534465277546991
2.55,1.0,0.014504551882236353,0.01061806884216554,14.974877379275615,0.03678206984461433,0.06370841305299324
