Time,compartment,ADP,NAD,ATP,NADH,pyruvate,lactate,CoA,halfglucose,AcCoA,AcP,Ac,AcO,EtOH,AcLac,AcetoinIn,AcetoinOut,Butanediol,O2,PO4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14
0.03,1.0,0.8821160055533199,8.716222728789626,4.117883994446687,1.2837772712103799,0.12035410276335885,0.1,0.9123524135607698,30.0,0.08764758643923218,0.017793639712362426,1.0,0.004580827703372411,1.0,5.0744875408760923E-5,4.534036947887902E-5,0.0,0.01,0.2,10.0,298.13149512468186,294.64838335587314,1.8348738333949006,-3.330012526461957,-3.4696103697273104,2.048788268161946,1.9143637151693462,3.1178652222433483E-4,5.37892705920491E-4,0.001813598333311457,-0.002949129201218643,292.57995592974436,45.027614108201014,1.5223462622628275E-8
0.031,1.0,0.8800527021585034,8.759540429973208,4.119947297841503,1.2404595700267946,0.12203116964736616,0.1,0.9091984354030914,30.0,0.09080156459691087,0.017934630692522078,1.0,0.004715000654758867,1.0,5.052514453548933E-5,4.705560267402856E-5,0.0,0.01,0.2,10.0,299.50729299856954,295.86209338751223,1.938602829398886,-3.2903489591945565,-3.4327846478042345,2.035779810257369,1.9018455815634434,3.22313666208159E-4,5.355635741208204E-4,0.0018822063932899037,-0.0031043090433997256,294.0300604170678,44.609948903387455,1.51575433606468E-8
0.032,1.0,0.878027450886631,8.802130862805958,4.1219725491133765,1.1978691371940478,0.12376822058428241,0.1,0.9059634615841006,30.0,0.09403653841590182,0.018078614777871208,1.0,0.004848718246945421,1.0,5.031849338047029E-5,4.885718884002374E-5,0.0,0.01,0.2,10.0,300.86016968836594,297.043379600139,2.0485513868121803,-3.249141856841142,-3.394726837737091,2.019609146021076,1.8860978257956151,3.3343296483933006E-4,5.333730853888828E-4,0.0019542684575883343,-0.00326703622275076,295.45962336015896,44.17814772495132,1.5095548014141086E-8
0.033,1.0,0.8760414079436053,8.8439575488162,4.123958592056401,1.156042451183809,0.12556859257148806,0.1,0.9026396712202539,30.0,0.09736032877974853,0.018225906250883103,1.0,0.004982040471995092,1.0,5.0125395710490144E-5,5.074939471935729E-5,0.0,0.01,0.2,10.0,302.18881786059393,298.19052431700237,2.1650216765083523,-3.2062548223848744,-3.355306291514267,2.000477430453275,1.8673361865823035,3.451904698207084E-4,5.313262615924226E-4,0.002029955184974903,-0.003437539958427358,296.86748495314333,43.732078307678364,1.503761871314704E-8
0.034,1.0,0.8740957448180624,8.88498363205787,4.125904255181945,1.1150163679421383,0.12743571902727638,0.1,0.8992192820118293,30.0,0.10078071798817317,0.018376825348458956,1.0,0.00511501355487429,1.0,4.994636785354474E-5,5.273653181254435E-5,0.0,0.01,0.2,10.0,303.4919133067318,299.3018223268646,2.2883106755577995,-3.161549893856032,-3.314391178787433,1.9785866213434278,1.8457755314014963,3.576357593019202E-4,5.294285757418655E-4,0.002109439023602139,-0.0036160117266956704,298.25246628739797,43.27168029627968,1.4983910356063423E-8
0.035,1.0,0.8721916442326213,8.925172002436852,4.127808355767385,1.0748279975631585,0.12937310202067712,0.1,0.8956945613859745,30.0,0.10430543861402783,0.018531698555947117,1.0,0.0052476717538987635,1.0,4.9781971804756936E-5,5.48229128336571E-5,0.0,0.01,0.2,10.0,304.7681195892641,300.3755983706958,2.4187047231841965,-3.114887642229273,-3.2718484034199253,1.954141419396524,1.8216315391855513,3.708220235858617E-4,5.276859849127136E-4,0.0021928924691957453,-0.003802594393586451,299.6133727786261,42.79697773647357,1.493459154142708E-8
0.036,1.0,0.8703302947242884,8.964485455244292,4.1296697052757185,1.0355145447557175,0.13138427655585408,0.1,0.8920578453019388,30.0,0.10794215469806365,0.018690858706386506,1.0,0.005380039431398653,1.0,4.96328183574734E-5,5.701279858155384E-5,0.0,0.01,0.2,10.0,306.0160940094846,301.41022813910985,2.556472988718625,-3.06612739092478,-3.2275436138484497,1.927351000860704,1.7951221512360858,3.8480609310239327E-4,5.261049634348462E-4,0.002280485939885042,-0.003997369997258935,300.94899868524504,42.30809231260901,1.488984550724202E-8
0.037,1.0,0.868512883719342,9.002886890406387,4.131487116280666,0.9971131095936192,0.1334727658231942,0.1,0.8883015654935253,30.0,0.11169843450647715,0.018854644854558046,1.0,0.005512133414488137,1.0,4.949957019275098E-5,5.9310334322959155E-5,0.0,0.01,0.2,10.0,307.2344950227444,302.40416295444464,2.70185976674143,-3.0151275740552115,-3.181341319320789,1.8984305018343561,1.766468758908131,3.996483898981706E-4,5.246925356407634E-4,0.0023723852315261215,-0.004200346285448005,302.2581328367136,41.805257082703484,1.4849871057825292E-8
0.038,1.0,0.8667405889767139,9.040339554648224,4.1332594110232925,0.9596604453517836,0.1356420264059044,0.1,0.8844182859321729,30.0,0.11558171406782941,0.019023401890836296,1.0,0.005643965654655118,1.0,4.938294484102344E-5,6.171947497365768E-5,0.0,0.01,0.2,10.0,308.42199121409874,303.3559581819891,2.855075546803479,-2.9617462511905694,-3.133105125662252,1.867602206976489,1.7358970938161056,4.154127809605976E-4,5.234563072589692E-4,0.0024687485249737457,-0.004411442223621413,303.53956568401634,41.28883036193098,1.4814883452307032E-8
0.039,1.0,0.8650145682920471,9.076807329164271,4.134985431707958,0.9231926708357376,0.13789538260565543,0.1,0.8804007492558092,30.0,0.11959925074419293,0.019197479856213555,1.0,0.005775546179905572,1.0,4.928371740772293E-5,6.424389866824826E-5,0.0,0.01,0.2,10.0,309.57727192324086,304.2643052296482,3.016286854258078,-2.9058417964502024,-3.082698105297191,1.835096390178146,1.7036377850823348,4.321663090443404E-4,5.224044943053022E-4,0.00256972292892604,-0.0046304728274699,304.7920977704506,40.759309293339385,1.4785115222316878E-8
0.04,1.0,0.8633359473853999,9.112255064417788,4.136664052614606,0.8877449355822182,0.14023594935186573,0.1,0.8762419338076247,30.0,0.1237580661923778,0.019377232917437426,1.0,0.005906886314233344,1.0,4.9202722930503615E-5,6.688690874946669E-5,0.0,0.01,0.2,10.0,310.69905956972906,305.1280667475475,3.1856049279441514,-2.847273778800338,-3.0299833166995143,1.8011517516274356,1.669926549007424,4.499787746804866E-4,5.215459480692981E-4,0.0026754405595889527,-0.0048571338377114805,306.01454969661063,40.21734252465189,1.4760816879151083E-8
0.041,1.0,0.8617058059418572,9.146648962285775,4.138294194058146,0.8533510377142265,0.14266654361446224,0.1,0.8719351217475001,30.0,0.1280648782525024,0.019563017960403148,1.0,0.006038002116353671,1.0,4.9140858210397056E-5,6.96513248031819E-5,0.0,0.01,0.2,10.0,311.7861236754058,305.9463143263982,3.363073392022788,-2.7859040481507242,-2.9748244880715133,1.7660153954999178,1.6350039800255984,4.6892214222395666E-4,5.208901745242804E-4,0.002786014182211533,-0.005090986940417431,307.20577361669007,39.66374129021012,1.4742257463119115E-8
0.042,1.0,0.8601251618387787,9.179957003868449,4.139874838161225,0.8200429961315554,0.1451895848724861,0.1,0.8674739784191221,30.0,0.13252602158088034,0.01975519276137707,1.0,0.006168917963464639,1.0,4.909908293419242E-5,7.253936412425782E-5,0.0,0.01,0.2,10.0,312.8372965087295,306.7183676208647,3.548655193775808,-2.7215980378113636,-2.9170868785979103,1.7299422961998516,1.599114918409941,4.890697437563506E-4,5.204473462245026E-4,0.002901532469906242,-0.005331446431122103,308.36466625168373,39.099488088723135,1.4729724880257724E-8
0.043,1.0,0.8585949536777753,9.212149418861944,4.141405046322228,0.7878505811380593,0.14780698601304149,0.1,0.862852642761981,30.0,0.13714735723802113,0.019954113700015767,1.0,0.0062996701773505035,1.0,4.9078419882701965E-5,7.555251591657233E-5,0.0,0.01,0.2,10.0,313.85149018470014,307.44383340745463,3.7422192144881046,-2.6542262877209892,-2.8566383278048897,1.6931942096444736,1.5625073802959089,5.104952581232668E-4,5.202283045127519E-4,0.0030220549718916203,-0.005577768408062034,309.4901833372778,38.525742065337624,1.4723525964810588E-8
