Time,compartment,GSH,HTA,SLG,Lac,MG,vneHTA,vGlxI
41050.0,1.0,1.2124134552527852,0.004054045968909781,6.783532498778293,0.0,0.01,2.7619319260591482E-5,2.7709387876194286E-5
41060.0,1.0,1.2121373055024436,0.004053130087579595,6.783809564409966,0.0,0.01,2.7605450252917406E-5,2.7695473824140258E-5
41070.0,1.0,1.2118612944175273,0.0040522146652957995,6.784086490917166,0.0,0.01,2.7591589070835067E-5,2.7681567622902733E-5
41080.0,1.0,1.211585421919797,0.004051299701800271,6.784363278378391,0.0,0.01,2.7577735709037078E-5,2.7667669267157815E-5
41090.0,1.0,1.2113096879310674,0.00405038519683506,6.784639926872087,0.0,0.01,2.7563890162218656E-5,2.7653778751586208E-5
41100.0,1.0,1.2110340923732053,0.004049471150142387,6.784916436476642,0.0,0.01,2.755005242508716E-5,2.76398960708731E-5
41110.0,1.0,1.2107586351681303,0.004048557561464651,6.785192807270396,0.0,0.01,2.7536222492345608E-5,2.7626021219708265E-5
41120.0,1.0,1.2104833162378152,0.004047644430544423,6.785469039331631,0.0,0.01,2.75224003587057E-5,2.7612154192786038E-5
41130.0,1.0,1.2102081355042864,0.004046731757124448,6.7857451327385805,0.0,0.01,2.750858601888173E-5,2.7598294984805272E-5
41140.0,1.0,1.2099330928896221,0.004045819540947643,6.786021087569422,0.0,0.01,2.7494779467595806E-5,2.7584443590469365E-5
41150.0,1.0,1.2096581883159534,0.004044907781757097,6.78629690390228,0.0,0.01,2.7480980699574366E-5,2.757060000448616E-5
41160.0,1.0,1.2093834217054649,0.004043996479296079,6.786572581815229,0.0,0.01,2.7467189709541248E-5,2.7556764221568184E-5
41170.0,1.0,1.209108792980393,0.004043085633308021,6.7868481213862895,0.0,0.01,2.7453406492235904E-5,2.754293623643233E-5
41180.0,1.0,1.2088343020630277,0.004042175243536537,6.787123522693427,0.0,0.01,2.743963104239258E-5,2.7529116043800098E-5
41190.0,1.0,1.2085599488757102,0.004041265309725405,6.787398785814554,0.0,0.01,2.7425863354755935E-5,2.7515303638397435E-5
41200.0,1.0,1.2082857333408354,0.004040355831618583,6.787673910827536,0.0,0.01,2.7412103424072354E-5,2.750149901495483E-5
41210.0,1.0,1.208011655380851,0.004039446808960196,6.787948897810178,0.0,0.01,2.7398351245096035E-5,2.748770216820725E-5
41220.0,1.0,1.207737714918256,0.004038538241494548,6.78822374684024,0.0,0.01,2.7384606812576838E-5,2.7473913092894222E-5
41230.0,1.0,1.2074639118756028,0.0040376301289661055,6.788498457995422,0.0,0.01,2.7370870121283704E-5,2.746013178375965E-5
41240.0,1.0,1.2071902461754955,0.0040367224711195145,6.788773031353376,0.0,0.01,2.7357141165975166E-5,2.7446358235551992E-5
41250.0,1.0,1.206916717740591,0.004035815267699589,6.7890474669917005,0.0,0.01,2.734341994142537E-5,2.7432592443024185E-5
41260.0,1.0,1.206643326493598,0.004034908518451316,6.789321764987941,0.0,0.01,2.7329706442404123E-5,2.7418834400933605E-5
41270.0,1.0,1.206370072357278,0.004034002223119854,6.789595925419592,0.0,0.01,2.731600066369251E-5,2.740508410404215E-5
41280.0,1.0,1.2060969552544443,0.0040330963814505325,6.789869948364095,0.0,0.01,2.7302302600072485E-5,2.7391341547116133E-5
41290.0,1.0,1.205823975107963,0.004032190993188852,6.790143833898838,0.0,0.01,2.7288612246332937E-5,2.7377606724926358E-5
41300.0,1.0,1.2055511318407515,0.004031286058080484,6.790417582101158,0.0,0.01,2.7274929597266226E-5,2.7363879632248048E-5
41310.0,1.0,1.2052784253757793,0.004030381575871272,6.79069119304834,0.0,0.01,2.726125464766558E-5,2.7350160263860933E-5
41320.0,1.0,1.2050058556360688,0.004029477546307229,6.790964666817613,0.0,0.01,2.7247587392333766E-5,2.733644861454915E-5
41330.0,1.0,1.2047334225446933,0.004028573969134538,6.791238003486161,0.0,0.01,2.7233927826073555E-5,2.732274467910128E-5
41340.0,1.0,1.204461126024779,0.004027670844099553,6.791511203131109,0.0,0.01,2.7220275943700724E-5,2.7309048452310322E-5
41350.0,1.0,1.2041889659995035,0.004026768170948803,6.791784265829536,0.0,0.01,2.7206631740020644E-5,2.7295359928973787E-5
41360.0,1.0,1.2039169423920957,0.004025865949428977,6.792057191658463,0.0,0.01,2.7192995209858635E-5,2.7281679103893493E-5
41370.0,1.0,1.2036450551258373,0.004024964179286944,6.792329980694864,0.0,0.01,2.7179366348033945E-5,2.7268005971875772E-5
41380.0,1.0,1.2033733041240615,0.004024062860269738,6.792602633015657,0.0,0.01,2.716574514937363E-5,2.7254340527731352E-5
41390.0,1.0,1.2031016893101527,0.004023161992124562,6.7928751486977115,0.0,0.01,2.715213160871168E-5,2.7240682766275338E-5
41400.0,1.0,1.2028302106075475,0.004022261574598791,6.793147527817843,0.0,0.01,2.713852572088296E-5,2.722703268232728E-5
41410.0,1.0,1.2025588679397337,0.004021361607439968,6.793419770452815,0.0,0.01,2.7124927480726667E-5,2.721339027071111E-5
41420.0,1.0,1.202287661230251,0.004020462090395806,6.793691876679342,0.0,0.01,2.7111336883089802E-5,2.719975552625517E-5
41430.0,1.0,1.2020165904026912,0.004019563023214189,6.793963846574084,0.0,0.01,2.7097753922819372E-5,2.718612844379222E-5
41440.0,1.0,1.2017456553806962,0.004018664405643166,6.79423568021365,0.0,0.01,2.7084178594770185E-5,2.717250901815935E-5
41450.0,1.0,1.2014748560879602,0.004017766237430956,6.7945073776745994,0.0,0.01,2.7070610893799654E-5,2.7158897244198064E-5
41460.0,1.0,1.2012041924482288,0.00401686851832595,6.794778939033436,0.0,0.01,2.705705081476953E-5,2.714529311675427E-5
41470.0,1.0,1.200933664385299,0.004015971248076702,6.795050364366615,0.0,0.01,2.7043498352548496E-5,2.7131696630678187E-5
41480.0,1.0,1.200663271823019,0.004015074426431942,6.79532165375054,0.0,0.01,2.702995350200351E-5,2.71181077808245E-5
41490.0,1.0,1.2003930146852881,0.004014178053140561,6.7955928072615635,0.0,0.01,2.7016416258013667E-5,2.7104526562052153E-5
41500.0,1.0,1.2001228928960572,0.00401328212795162,6.795863824975983,0.0,0.01,2.7002886615458063E-5,2.7090952969224515E-5
41510.0,1.0,1.199852906379328,0.004012386650614352,6.79613470697005,0.0,0.01,2.698936456922013E-5,2.707738699720932E-5
41520.0,1.0,1.1995830550591537,0.004011491620878154,6.796405453319961,0.0,0.01,2.697585011418764E-5,2.7063828640878606E-5
41530.0,1.0,1.1993133388596382,0.004010597038492591,6.796676064101862,0.0,0.01,2.6962343245253567E-5,2.7050277895108777E-5
41540.0,1.0,1.199043757704937,0.004009702903207397,6.796946539391848,0.0,0.01,2.694884395731522E-5,2.7036734754780598E-5
41550.0,1.0,1.1987743115192562,0.004008809214772474,6.797216879265964,0.0,0.01,2.6935352245272513E-5,2.702319921477916E-5
41560.0,1.0,1.1985050002268531,0.0040079159729378856,6.797487083800201,0.0,0.01,2.6921868104036635E-5,2.7009671269993846E-5
41570.0,1.0,1.1982358237520356,0.004007023177453874,6.797757153070502,0.0,0.01,2.6908391528509233E-5,2.6996150915318464E-5
41580.0,1.0,1.197966782019163,0.004006130828070837,6.798027087152757,0.0,0.01,2.6894922513609303E-5,2.6982638145651044E-5
41590.0,1.0,1.197697874952645,0.004005238924539344,6.798296886122808,0.0,0.01,2.6881461054255838E-5,2.6969132955893977E-5
41600.0,1.0,1.1974291024769423,0.004004347466610131,6.79856655005644,0.0,0.01,2.6868007145372172E-5,2.6955635340953966E-5
41610.0,1.0,1.1971604645165659,0.004003456454034103,6.7988360790293925,0.0,0.01,2.6854560781880768E-5,2.6942145295742052E-5
41620.0,1.0,1.1968919609960784,0.004002565886562326,6.799105473117352,0.0,0.01,2.684112195871797E-5,2.6928662815173515E-5
41630.0,1.0,1.1966235918400925,0.004001675763946037,6.799374732395954,0.0,0.01,2.6827690670817514E-5,2.691518789416802E-5
41640.0,1.0,1.1963553569732719,0.004000786085936637,6.799643856940784,0.0,0.01,2.681426691312095E-5,2.6901720527649435E-5
41650.0,1.0,1.19608725632033,0.0039998968522856945,6.799912846827376,0.0,0.01,2.680085068057069E-5,2.688826071054599E-5
41660.0,1.0,1.1958192898060318,0.003999008062744942,6.800181702131216,0.0,0.01,2.6787441968116957E-5,2.687480843779016E-5
41670.0,1.0,1.1955514573551922,0.00399811971706628,6.800450422927734,0.0,0.01,2.6774040770710834E-5,2.6861363704318753E-5
41680.0,1.0,1.1952837588926768,0.003997231815001771,6.800719009292314,0.0,0.01,2.6760647083312085E-5,2.684792650507277E-5
41690.0,1.0,1.1950161943434012,0.00399634435630365,6.800987461300287,0.0,0.01,2.6747260900877E-5,2.6834496834997606E-5
41700.0,1.0,1.1947487636323322,0.003995457340724309,6.801255779026936,0.0,0.01,2.673388221837835E-5,2.6821074689042775E-5
41710.0,1.0,1.194481466684486,0.0039945707680163105,6.801523962547491,0.0,0.01,2.6720511030779368E-5,2.6807660062162188E-5
41720.0,1.0,1.19421430342493,0.00399368463793238,6.801792011937131,0.0,0.01,2.6707147333058026E-5,2.679425294931394E-5
41730.0,1.0,1.1939472737787808,0.0039927989502254084,6.802059927270988,0.0,0.01,2.669379112019317E-5,2.678085334546041E-5
41740.0,1.0,1.1936803776712066,0.003991913704648452,6.802327708624139,0.0,0.01,2.6680442387166242E-5,2.6767461245568195E-5
41750.0,1.0,1.1934136150274242,0.003991028900954734,6.802595356071616,0.0,0.01,2.666710112896129E-5,2.6754076644608237E-5
41760.0,1.0,1.193146985772701,0.003990144538897634,6.802862869688396,0.0,0.01,2.6653767340572773E-5,2.6740699537555515E-5
41770.0,1.0,1.1928804898323557,0.003989260618230706,6.803130249549408,0.0,0.01,2.6640441016996877E-5,2.672732991938949E-5
41780.0,1.0,1.1926141271317554,0.00398837713870766,6.803397495729532,0.0,0.01,2.6627122153231528E-5,2.6713967785093668E-5
41790.0,1.0,1.1923478975963175,0.0039874941000823776,6.8036646083035945,0.0,0.01,2.6613810744278987E-5,2.670061312965588E-5
41800.0,1.0,1.1920818011515106,0.003986611502108899,6.803931587346375,0.0,0.01,2.6600506785148456E-5,2.668726594806817E-5
41810.0,1.0,1.1918158377228516,0.003985729344541429,6.804198432932601,0.0,0.01,2.6587210270852604E-5,2.6673926235326732E-5
41820.0,1.0,1.1915500072359084,0.003984847627134337,6.804465145136953,0.0,0.01,2.657392119640844E-5,2.6660593986432057E-5
41830.0,1.0,1.1912843096162982,0.003983966349642158,6.804731724034056,0.0,0.01,2.6560639556833833E-5,2.664726919638882E-5
41840.0,1.0,1.1910187447896878,0.003983085511819586,6.80499816969849,0.0,0.01,2.654736534715707E-5,2.6633951860205857E-5
41850.0,1.0,1.1907533126817942,0.003982205113421481,6.805264482204781,0.0,0.01,2.653409856240383E-5,2.662064197289631E-5
41860.0,1.0,1.1904880132183835,0.003981325154202867,6.80553066162741,0.0,0.01,2.652083919760847E-5,2.6607339529477383E-5
41870.0,1.0,1.1902228463252726,0.003980445633918929,6.805796708040804,0.0,0.01,2.6507587247808807E-5,2.659404452497058E-5
41880.0,1.0,1.189957811928327,0.003979566552325016,6.806062621519344,0.0,0.01,2.649434270804614E-5,2.6580756954401527E-5
41890.0,1.0,1.1896929099534619,0.003978687909176639,6.806328402137358,0.0,0.01,2.6481105573365228E-5,2.656747681280008E-5
41900.0,1.0,1.1894281403266422,0.003977809704229472,6.806594049969124,0.0,0.01,2.6467875838816907E-5,2.655420409520021E-5
41910.0,1.0,1.1891635029738823,0.003976931937239352,6.806859565088875,0.0,0.01,2.645465349945548E-5,2.6540938796640127E-5
41920.0,1.0,1.188898997821246,0.003976054607962278,6.807124947570789,0.0,0.01,2.6441438550335247E-5,2.6527680912162197E-5
41930.0,1.0,1.1886346247948467,0.003975177716154411,6.807390197488996,0.0,0.01,2.6428230986523527E-5,2.6514430436812926E-5
41940.0,1.0,1.1883703838208468,0.003974301261572073,6.807655314917579,0.0,0.01,2.6415030803085028E-5,2.6501187365642986E-5
41950.0,1.0,1.1881062748254585,0.003973425243971752,6.807920299930568,0.0,0.01,2.6401837995090535E-5,2.6487951693707238E-5
41960.0,1.0,1.187842297734942,0.00397254966311009,6.808185152601945,0.0,0.01,2.6388652557612566E-5,2.6474723416064646E-5
41970.0,1.0,1.187578452475609,0.003971674518743901,6.808449873005644,0.0,0.01,2.6375474485730577E-5,2.646150252777838E-5
41980.0,1.0,1.1873147389738186,0.003970799810630151,6.808714461215549,0.0,0.01,2.6362303774530964E-5,2.644828902391568E-5
41990.0,1.0,1.1870511571559792,0.003969925538525974,6.808978917305491,0.0,0.01,2.6349140419095786E-5,2.6435082899547988E-5
42000.0,1.0,1.1867877069485493,0.00396905170218866,6.809243241349257,0.0,0.01,2.6335984414521847E-5,2.642188414975082E-5
42010.0,1.0,1.1865243882780359,0.003968178301375666,6.809507433420584,0.0,0.01,2.6322835755899013E-5,2.6408692769603912E-5
42020.0,1.0,1.1862612010709948,0.0039673053358446056,6.809771493593157,0.0,0.01,2.6309694438331026E-5,2.6395508754191038E-5
42030.0,1.0,1.1859981452540307,0.003966432805353255,6.810035421940613,0.0,0.01,2.6296560456917292E-5,2.6382332098600145E-5
42040.0,1.0,1.185735220753798,0.003965560709659548,6.81029921853654,0.0,0.01,2.628343380676936E-5,2.6369162797923252E-5
42050.0,1.0,1.1854724274969992,0.003964689048521586,6.810562883454477,0.0,0.01,2.627031448299618E-5,2.6356000847256554E-5
42060.0,1.0,1.1852097654103864,0.003963817821697622,6.810826416767914,0.0,0.01,2.625720248071537E-5,2.6342846241700286E-5
42070.0,1.0,1.1849472344207597,0.003962947028946076,6.811089818550292,0.0,0.01,2.6244097795046287E-5,2.6329698976358823E-5
42080.0,1.0,1.1846848344549687,0.003962076670025525,6.811353088875003,0.0,0.01,2.6231000421114356E-5,2.6316559046340633E-5
42090.0,1.0,1.1844225654399119,0.003961206744694709,6.8116162278153904,0.0,0.01,2.6217910354045006E-5,2.6303426446758316E-5
42100.0,1.0,1.1841604273025355,0.003960337252712524,6.811879235444749,0.0,0.01,2.620482758897147E-5,2.6290301172728487E-5
42110.0,1.0,1.1838984199698352,0.00395946819383803,6.812142111836325,0.0,0.01,2.6191752121030448E-5,2.6277183219371918E-5
42120.0,1.0,1.1836365433688552,0.003958599567830443,6.812404857063313,0.0,0.01,2.6178683945359514E-5,2.6264072581813428E-5
